group_id,product_group,subgroup_id,sub_group,skus
178,Tandoori,960,Paneer Tikka,11
178,Tandoori,963,Paratha Tandoori,18
178,Tandoori,988,Tandoori Roti,4
178,Tandoori,991,Tikka,14
178,Tandoori,992,Tofu Tikka,1
179,Tawa Items,962,Paratha,19
179,Tawa Items,975,Roti,3
152,Tea & Coffee,375,Coffee,60
152,Tea & Coffee,780,Tea,178
189,Thermals,1018,Thermal Lower,10
189,Thermals,784,Thermal Upper,158
153,Toiletories,1003,After Wash,5
153,Toiletories,886,Air Freshener,77
153,Toiletories,1004,Bleach,7
153,Toiletories,1046,Dabur Hygienic,0
153,Toiletories,852,Detergent Bar,35
153,Toiletories,995,Detergent Liquid,29
153,Toiletories,413,Detergent Powder,112
153,Toiletories,856,Dish Washers,53
153,Toiletories,1050,Hair Gel,1
153,Toiletories,888,Napthalene Balls,6
153,Toiletories,793,Tissue Paper,19
153,Toiletories,887,Toilet & Floor Cleaner,48
153,Toiletories,797,Toiletories,123
153,Toiletories,876,Tongue Cleaner,2
153,Toiletories,838,Wash Soap,7
154,Toy & Sports,813,Toy & Sports,5
154,Toy & Sports,814,Toys,182
154,Toy & Sports,815,Toys & Games,15
155,Toys,343,Cars,24
155,Toys,875,Stuff Toy,14
155,Toys,766,Stuffs,89
155,Toys,877,Toy,93
157,Under Garment,304,Bloomer,2
157,Under Garment,318,Briefs,142
157,Under Garment,505,Hankey,38
157,Under Garment,641,Panties,64
157,Under Garment,708,Sameez,14
157,Under Garment,744,Slips,42
157,Under Garment,749,Socks Cotton,97
157,Under Garment,1015,Socks Woolen,13
157,Under Garment,316,Ug Bra,153
157,Under Garment,834,Vest,157
183,Unstiched Suits,552,Ladies Suits,343
158,Upper Wear,548,Kurta,1
158,Upper Wear,1057,Old Cloths,1
158,Upper Wear,824,Upper Wear,12
180,Veg Delight,901,Aloo,4
180,Veg Delight,914,Cheese Tomato,1
